Number items,20
Number scenarios,50
Capacity,50
Item,Revenue
0,3
1,1
2,3
3,3
4,2
5,1
6,2
7,1
8,3
9,4
10,1
11,3
12,2
13,1
14,1
15,2
16,3
17,1
18,4
19,4
Scenario,probability,Item 0 weight,Item 1 weight,Item 2 weight,Item 3 weight,Item 4 weight,Item 5 weight,Item 6 weight,Item 7 weight,Item 8 weight,Item 9 weight,Item 10 weight,Item 11 weight,Item 12 weight,Item 13 weight,Item 14 weight,Item 15 weight,Item 16 weight,Item 17 weight,Item 18 weight,Item 19 weight,
0,0.02,8,11,8,9,10,12,7,13,13,12,7,8,11,12,6,5,12,5,5,12,
1,0.02,5,9,10,5,7,12,12,8,6,11,11,5,7,13,8,6,11,13,11,9,
2,0.02,9,7,8,8,6,6,5,6,6,10,7,7,6,8,10,10,9,11,5,11,
3,0.02,9,12,5,9,12,11,11,7,7,5,7,11,11,7,7,8,9,9,13,5,
4,0.02,5,11,13,11,6,9,12,8,5,8,8,12,13,10,8,13,13,8,9,5,
5,0.02,7,8,13,8,10,7,10,5,10,7,13,5,12,8,9,10,13,5,12,6,
6,0.02,6,6,6,9,6,10,5,9,6,13,10,12,11,10,12,13,7,7,8,9,
7,0.02,13,12,10,12,12,6,5,11,7,10,8,6,13,11,7,6,8,10,5,8,
8,0.02,13,7,7,11,13,5,7,11,13,11,12,10,13,10,10,13,11,6,9,9,
9,0.02,8,10,10,5,5,5,12,5,10,13,10,13,11,9,10,13,12,7,5,13,
10,0.02,5,6,11,7,5,11,8,11,7,6,10,6,12,10,8,9,9,11,5,7,
11,0.02,8,5,11,7,9,7,7,11,9,13,8,8,10,5,9,7,5,8,9,9,
12,0.02,10,10,11,5,13,12,8,13,9,5,10,7,9,10,11,13,9,7,13,9,
13,0.02,7,11,13,12,6,10,12,8,12,8,8,10,12,12,8,12,12,8,13,13,
14,0.02,12,8,13,13,6,5,7,10,13,13,13,7,11,12,12,8,11,5,5,11,
15,0.02,11,5,6,6,5,9,12,8,12,10,8,12,9,7,7,8,12,7,10,8,
16,0.02,6,9,7,9,10,8,6,11,12,11,6,9,6,9,10,11,10,11,6,9,
17,0.02,9,13,11,9,5,5,12,10,12,5,7,9,5,5,7,5,8,5,5,10,
18,0.02,12,10,11,10,6,8,8,11,12,10,7,6,13,11,10,10,8,9,5,10,
19,0.02,5,10,5,13,6,13,13,9,10,5,7,13,13,5,9,7,12,10,9,5,
20,0.02,5,7,10,13,11,5,13,6,11,5,6,13,12,6,13,10,5,6,11,11,
21,0.02,8,6,12,7,8,5,12,9,8,5,8,11,6,7,12,11,7,5,12,13,
22,0.02,11,12,6,8,7,7,6,7,6,11,13,5,10,11,6,12,10,7,9,5,
23,0.02,5,5,8,7,7,8,6,7,10,6,10,12,13,8,11,12,11,10,12,11,
24,0.02,9,11,8,10,12,11,12,7,6,8,8,9,13,5,9,9,13,11,7,7,
25,0.02,9,12,10,7,12,8,7,11,9,9,12,5,7,5,8,8,11,5,13,11,
26,0.02,11,6,11,13,8,8,13,11,7,6,8,11,10,11,9,8,11,6,5,11,
27,0.02,9,5,5,13,7,12,6,7,12,6,5,6,5,13,7,7,11,11,12,12,
28,0.02,5,11,8,11,5,5,13,6,7,13,12,8,5,8,8,13,5,7,10,13,
29,0.02,5,8,8,11,8,9,10,13,9,7,5,10,12,13,10,9,12,9,8,9,
30,0.02,9,13,5,13,7,7,11,7,6,11,12,13,5,9,11,10,5,10,7,9,
31,0.02,10,5,7,13,8,8,13,5,13,11,11,9,5,5,8,11,6,5,12,10,
32,0.02,8,5,11,11,7,5,9,8,5,9,11,10,9,12,5,7,5,12,5,12,
33,0.02,10,13,7,11,7,6,11,13,12,6,13,6,13,8,8,5,13,5,13,11,
34,0.02,13,6,9,13,10,9,12,8,6,6,11,7,9,9,7,13,5,9,6,11,
35,0.02,7,12,11,13,13,6,13,12,11,10,13,9,9,10,5,13,6,6,8,10,
36,0.02,6,10,13,12,5,11,13,10,9,5,6,13,10,6,11,6,6,7,8,10,
37,0.02,11,9,9,5,13,7,13,7,5,10,11,6,10,7,8,10,8,9,6,12,
38,0.02,9,13,8,8,6,8,10,11,13,11,6,9,13,6,11,13,8,10,9,6,
39,0.02,12,7,9,5,9,12,11,7,9,10,6,13,10,5,10,8,8,6,12,9,
40,0.02,13,8,5,11,7,12,7,13,10,13,11,6,6,6,9,10,9,7,13,11,
41,0.02,13,10,5,6,8,13,5,12,12,7,13,8,6,9,7,7,6,5,6,13,
42,0.02,6,13,8,12,6,7,9,12,11,13,10,5,9,7,9,8,13,8,11,10,
43,0.02,7,6,6,13,6,12,6,8,13,9,6,12,12,5,12,7,10,7,11,6,
44,0.02,9,9,13,8,7,13,10,12,7,6,11,13,8,5,6,7,9,10,7,11,
45,0.02,10,6,13,6,6,13,10,12,9,7,7,6,10,9,6,12,13,11,8,12,
46,0.02,7,10,12,8,5,12,5,8,9,11,6,12,12,7,10,11,9,10,7,7,
47,0.02,9,5,9,9,6,5,13,13,6,7,12,12,13,8,8,9,5,6,5,6,
48,0.02,6,9,7,12,5,9,7,5,11,13,11,6,10,7,8,11,12,13,11,7,
49,0.02,8,12,6,6,12,6,8,10,10,5,13,5,11,8,6,13,10,5,9,6,
