Customer index,Dest consolidation point,travel time to customer destination (in days),per-unit cost
0,D,2,4
0,E,2,2
1,D,1,5
1,E,2,3
2,D,1,4
2,E,1,4
3,D,2,1
3,E,1,2
4,D,1,5
4,E,2,5
5,D,1,2
5,E,2,1
6,D,2,1
6,E,2,1
7,D,1,5
7,E,1,4
8,D,1,2
8,E,1,4
9,D,2,4
9,E,2,5
10,D,1,5
10,E,1,2
11,D,1,3
11,E,1,4
12,D,2,2
12,E,1,2
13,D,1,2
13,E,2,3
14,D,1,5
14,E,1,5
15,D,2,1
15,E,2,5
16,D,1,4
16,E,1,2
17,D,1,4
17,E,1,2
18,D,2,1
18,E,2,5
19,D,2,1
19,E,2,3
20,D,1,2
20,E,2,5
21,D,2,3
21,E,1,2
22,D,1,2
22,E,2,4
23,D,1,2
23,E,2,3
24,D,1,2
24,E,2,3
25,D,1,3
25,E,1,1
26,D,1,5
26,E,2,5
27,D,1,1
27,E,2,1
28,D,1,2
28,E,2,2
29,D,2,4
29,E,2,1
30,D,1,2
30,E,2,4
31,D,1,1
31,E,2,1
32,D,1,5
32,E,2,4
33,D,2,1
33,E,2,5
34,D,2,1
34,E,1,4
35,D,1,4
35,E,1,1
36,D,2,4
36,E,1,5
37,D,2,1
37,E,2,1
38,D,1,3
38,E,2,2
39,D,1,3
39,E,2,4
40,D,1,5
40,E,2,3
41,D,2,3
41,E,2,3
42,D,1,3
42,E,1,2
43,D,2,5
43,E,1,5
44,D,1,2
44,E,2,4
45,D,1,4
45,E,1,1
46,D,2,5
46,E,2,5
47,D,2,5
47,E,1,4
48,D,1,3
48,E,2,3
49,D,2,3
49,E,2,2
50,D,2,4
50,E,2,1
51,D,2,3
51,E,2,2
52,D,2,3
52,E,1,1
53,D,2,2
53,E,1,3
54,D,1,2
54,E,1,4
55,D,1,3
55,E,1,2
56,D,2,5
56,E,2,5
57,D,2,2
57,E,2,3
58,D,1,2
58,E,2,2
59,D,1,5
59,E,2,4
60,D,2,1
60,E,1,5
61,D,2,4
61,E,2,1
62,D,1,4
62,E,1,5
63,D,2,4
63,E,1,1
64,D,1,1
64,E,1,5
65,D,1,3
65,E,2,5
66,D,1,4
66,E,2,4
67,D,2,2
67,E,1,4
68,D,2,1
68,E,2,2
69,D,1,2
69,E,2,1
70,D,2,4
70,E,2,3
71,D,2,2
71,E,2,4
72,D,1,1
72,E,1,2
73,D,1,4
73,E,1,4
74,D,2,1
74,E,1,1
75,D,1,1
75,E,1,3
76,D,1,5
76,E,1,2
77,D,2,3
77,E,1,2
78,D,1,2
78,E,1,4
79,D,1,5
79,E,1,4
80,D,2,2
80,E,2,2
81,D,2,3
81,E,2,3
82,D,1,1
82,E,2,3
83,D,2,2
83,E,1,3
84,D,1,2
84,E,1,2
85,D,2,1
85,E,2,5
86,D,1,5
86,E,1,2
87,D,1,1
87,E,1,2
88,D,2,5
88,E,1,4
89,D,1,3
89,E,1,1
90,D,2,3
90,E,2,4
91,D,1,5
91,E,2,5
92,D,1,3
92,E,1,3
93,D,1,2
93,E,2,5
94,D,1,3
94,E,2,4
95,D,2,2
95,E,1,3
96,D,2,5
96,E,2,3
97,D,1,3
97,E,1,5
98,D,1,4
98,E,2,5
99,D,2,3
99,E,1,3
