Customer index,Origin consolidation point,travel time from customer origin (in days),per-unit cost
0,A,2,5
0,B,1,5
0,C,1,4
1,A,1,1
1,B,2,2
1,C,1,5
2,A,2,1
2,B,2,1
2,C,2,5
3,A,1,1
3,B,1,2
3,C,1,3
4,A,2,5
4,B,1,4
4,C,2,2
5,A,2,3
5,B,1,4
5,C,1,5
6,A,1,4
6,B,2,5
6,C,1,3
7,A,2,5
7,B,2,1
7,C,2,4
8,A,2,5
8,B,1,2
8,C,1,2
9,A,1,2
9,B,1,4
9,C,2,4
10,A,1,2
10,B,1,2
10,C,2,5
11,A,1,1
11,B,1,4
11,C,1,2
12,A,1,3
12,B,2,2
12,C,1,5
13,A,1,2
13,B,2,1
13,C,1,2
14,A,1,2
14,B,2,4
14,C,1,5
15,A,2,3
15,B,2,4
15,C,1,2
16,A,2,3
16,B,1,5
16,C,1,2
17,A,2,4
17,B,2,4
17,C,2,4
18,A,1,2
18,B,2,4
18,C,1,3
19,A,2,1
19,B,1,1
19,C,1,1
20,A,2,2
20,B,2,4
20,C,2,3
21,A,2,4
21,B,2,2
21,C,1,3
22,A,1,4
22,B,1,5
22,C,2,1
23,A,1,1
23,B,2,4
23,C,1,5
24,A,1,5
24,B,2,3
24,C,2,4
25,A,1,4
25,B,2,1
25,C,2,2
26,A,1,5
26,B,2,5
26,C,2,5
27,A,1,1
27,B,1,4
27,C,1,5
28,A,2,5
28,B,1,4
28,C,2,2
29,A,2,3
29,B,1,2
29,C,2,1
30,A,1,2
30,B,2,5
30,C,2,3
31,A,2,1
31,B,2,5
31,C,2,2
32,A,2,3
32,B,2,1
32,C,1,2
33,A,2,1
33,B,1,2
33,C,1,3
34,A,1,4
34,B,1,4
34,C,2,1
35,A,1,3
35,B,2,4
35,C,1,2
36,A,2,3
36,B,2,4
36,C,1,3
37,A,2,2
37,B,1,5
37,C,1,3
38,A,1,3
38,B,1,5
38,C,1,1
39,A,2,5
39,B,2,5
39,C,1,4
40,A,2,3
40,B,1,3
40,C,2,1
41,A,2,1
41,B,2,1
41,C,2,2
42,A,1,3
42,B,2,5
42,C,2,3
43,A,2,3
43,B,2,1
43,C,1,2
44,A,2,3
44,B,2,1
44,C,2,2
45,A,1,2
45,B,1,2
45,C,1,3
46,A,1,3
46,B,1,4
46,C,2,2
47,A,2,5
47,B,1,1
47,C,2,1
48,A,1,2
48,B,1,1
48,C,1,5
49,A,2,2
49,B,1,1
49,C,1,5
50,A,1,5
50,B,1,4
50,C,2,1
51,A,1,5
51,B,2,3
51,C,1,3
52,A,2,5
52,B,1,4
52,C,2,4
53,A,2,1
53,B,1,1
53,C,1,3
54,A,1,3
54,B,2,4
54,C,1,2
55,A,2,4
55,B,2,1
55,C,2,5
56,A,2,3
56,B,2,5
56,C,2,3
57,A,1,4
57,B,1,2
57,C,1,4
58,A,2,4
58,B,2,1
58,C,1,2
59,A,1,4
59,B,1,4
59,C,1,4
60,A,1,1
60,B,2,4
60,C,2,4
61,A,2,5
61,B,1,1
61,C,2,1
62,A,2,3
62,B,2,2
62,C,1,3
63,A,2,1
63,B,2,4
63,C,2,2
64,A,1,2
64,B,1,5
64,C,2,5
65,A,1,5
65,B,2,3
65,C,2,3
66,A,1,5
66,B,2,1
66,C,1,3
67,A,1,2
67,B,1,5
67,C,1,1
68,A,2,2
68,B,1,2
68,C,2,3
69,A,2,4
69,B,1,3
69,C,2,3
70,A,2,5
70,B,1,5
70,C,1,5
71,A,1,2
71,B,2,1
71,C,1,4
72,A,2,2
72,B,1,3
72,C,2,3
73,A,1,1
73,B,1,1
73,C,1,2
74,A,1,1
74,B,2,2
74,C,2,5
75,A,2,4
75,B,1,2
75,C,1,1
76,A,2,1
76,B,2,5
76,C,1,3
77,A,2,2
77,B,2,5
77,C,1,4
78,A,2,4
78,B,2,4
78,C,2,4
79,A,2,2
79,B,1,1
79,C,1,1
80,A,2,2
80,B,2,1
80,C,2,2
81,A,1,2
81,B,2,1
81,C,1,2
82,A,2,2
82,B,1,5
82,C,1,3
83,A,2,5
83,B,2,3
83,C,1,3
84,A,1,2
84,B,1,2
84,C,2,2
85,A,1,4
85,B,2,1
85,C,2,1
86,A,1,4
86,B,1,5
86,C,1,2
87,A,1,4
87,B,1,4
87,C,2,5
88,A,2,3
88,B,2,3
88,C,2,4
89,A,1,3
89,B,2,5
89,C,1,1
90,A,1,4
90,B,1,1
90,C,2,5
91,A,1,1
91,B,2,2
91,C,1,5
92,A,2,4
92,B,2,3
92,C,2,1
93,A,2,3
93,B,2,5
93,C,1,2
94,A,1,3
94,B,2,4
94,C,2,4
95,A,2,3
95,B,1,1
95,C,1,4
96,A,2,3
96,B,2,1
96,C,1,1
97,A,2,4
97,B,2,3
97,C,2,4
98,A,1,2
98,B,1,4
98,C,1,2
99,A,1,5
99,B,2,5
99,C,1,5
