Customer index,Pickup day,Service,Per-unit revenue,Dedicated path per-unit cost
0,8,7,80,143
1,4,7,116,145
2,5,8,97,149
3,17,6,89,131
4,6,6,93,150
5,1,7,115,147
6,5,6,114,139
7,18,8,101,134
8,14,6,103,148
9,6,6,95,149
10,8,7,88,147
11,15,7,84,138
12,5,6,87,142
13,14,8,90,130
14,4,8,81,145
15,0,8,90,133
16,12,6,119,132
17,11,8,105,149
18,4,7,85,150
19,9,7,97,143
20,13,8,105,149
21,1,7,88,144
22,6,6,102,139
23,2,8,88,135
24,17,6,82,141
25,19,8,80,149
26,19,8,80,142
27,3,7,87,146
28,13,8,97,146
29,3,7,111,130
30,7,6,86,150
31,6,7,82,144
32,16,6,120,133
33,14,7,91,135
34,11,8,84,149
35,4,7,104,133
36,4,7,97,132
37,14,8,108,139
38,16,7,91,140
39,0,6,96,134
40,15,8,100,143
41,18,7,105,150
42,3,8,85,133
43,7,7,89,141
44,3,8,83,134
45,10,7,110,136
46,3,6,116,144
47,18,6,91,146
48,17,6,106,133
49,12,8,108,137
50,14,6,86,143
51,5,7,84,150
52,1,7,116,136
53,17,6,107,139
54,5,7,119,137
55,0,7,82,140
56,0,7,118,143
57,1,8,89,143
58,18,7,80,134
59,19,6,109,149
60,18,6,88,143
61,0,16,111,148
62,12,8,117,132
63,4,8,85,135
64,19,7,105,143
65,2,6,100,141
66,3,7,113,147
67,17,8,86,132
68,19,7,105,142
69,10,6,120,144
70,17,6,85,138
71,5,7,93,147
72,5,7,84,136
73,17,7,92,140
74,8,8,117,142
75,19,8,115,145
76,11,6,81,144
77,11,8,81,133
78,13,7,103,141
79,14,8,104,135
80,7,8,91,131
81,4,8,86,142
82,7,8,102,143
83,14,7,89,148
84,7,8,102,137
85,6,7,103,136
86,0,6,92,143
87,1,8,84,134
88,2,6,100,144
89,17,7,89,139
90,16,6,97,150
91,6,8,86,148
92,5,8,98,144
93,10,8,101,143
94,11,8,120,141
95,1,8,100,142
96,3,6,101,134
97,5,7,99,146
98,16,8,105,130
99,4,6,88,146
