Origin consol point,Destination consol point,Day,fixed cost per block,capacity per block,maximum # blocks
A,D,0,600,200,10
A,E,0,800,200,10
B,D,0,800,200,10
B,E,0,800,200,10
C,D,0,600,200,10
C,E,0,600,200,10
A,D,1,600,200,10
A,E,1,800,200,10
B,D,1,800,200,10
B,E,1,800,200,10
C,D,1,600,200,10
C,E,1,600,200,10
A,D,2,600,200,10
A,E,2,800,200,10
B,D,2,800,200,10
B,E,2,800,200,10
C,D,2,600,200,10
C,E,2,600,200,10
A,D,3,600,200,10
A,E,3,800,200,10
B,D,3,800,200,10
B,E,3,800,200,10
C,D,3,600,200,10
C,E,3,600,200,10
A,D,4,600,200,10
A,E,4,800,200,10
B,D,4,800,200,10
B,E,4,800,200,10
C,D,4,600,200,10
C,E,4,600,200,10
A,D,5,600,200,10
A,E,5,800,200,10
B,D,5,800,200,10
B,E,5,800,200,10
C,D,5,600,200,10
C,E,5,600,200,10
A,D,6,600,200,10
A,E,6,800,200,10
B,D,6,800,200,10
B,E,6,800,200,10
C,D,6,600,200,10
C,E,6,600,200,10
A,D,7,600,200,10
A,E,7,800,200,10
B,D,7,800,200,10
B,E,7,800,200,10
C,D,7,600,200,10
C,E,7,600,200,10
A,D,8,600,200,10
A,E,8,800,200,10
B,D,8,800,200,10
B,E,8,800,200,10
C,D,8,600,200,10
C,E,8,600,200,10
A,D,9,600,200,10
A,E,9,800,200,10
B,D,9,800,200,10
B,E,9,800,200,10
C,D,9,600,200,10
C,E,9,600,200,10
A,D,10,600,200,10
A,E,10,800,200,10
B,D,10,800,200,10
B,E,10,800,200,10
C,D,10,600,200,10
C,E,10,600,200,10
A,D,11,600,200,10
A,E,11,800,200,10
B,D,11,800,200,10
B,E,11,800,200,10
C,D,11,600,200,10
C,E,11,600,200,10
A,D,12,600,200,10
A,E,12,800,200,10
B,D,12,800,200,10
B,E,12,800,200,10
C,D,12,600,200,10
C,E,12,600,200,10
A,D,13,600,200,10
A,E,13,800,200,10
B,D,13,800,200,10
B,E,13,800,200,10
C,D,13,600,200,10
C,E,13,600,200,10
A,D,14,600,200,10
A,E,14,800,200,10
B,D,14,800,200,10
B,E,14,800,200,10
C,D,14,600,200,10
C,E,14,600,200,10
A,D,15,600,200,10
A,E,15,800,200,10
B,D,15,800,200,10
B,E,15,800,200,10
C,D,15,600,200,10
C,E,15,600,200,10
A,D,16,600,200,10
A,E,16,800,200,10
B,D,16,800,200,10
B,E,16,800,200,10
C,D,16,600,200,10
C,E,16,600,200,10
A,D,17,600,200,10
A,E,17,800,200,10
B,D,17,800,200,10
B,E,17,800,200,10
C,D,17,600,200,10
C,E,17,600,200,10
A,D,18,600,200,10
A,E,18,800,200,10
B,D,18,800,200,10
B,E,18,800,200,10
C,D,18,600,200,10
C,E,18,600,200,10
A,D,19,600,200,10
A,E,19,800,200,10
B,D,19,800,200,10
B,E,19,800,200,10
C,D,19,600,200,10
C,E,19,600,200,10
A,D,20,600,200,10
A,E,20,800,200,10
B,D,20,800,200,10
B,E,20,800,200,10
C,D,20,600,200,10
C,E,20,600,200,10
